Current       Voltage         Power         Tempreture        Humidity          Flux          Illuminance         LM35-1      LM35-2        SNo.      LM35-3      LM35-4

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        9174.00*LX        72.47*W/m2        9.99*C        9.56*C        1        41.25*C        37.49*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        9.99*C        9.56*C        2        13.21*C        20.41*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        9.99*C        9.56*C        3        16.22*C        22.02*C

        25.00*A        0.05*mV        1.25*Watt        31.00*C        14.00%        54612.00*LX        431.43*W/m2        9.88*C        9.56*C        4        16.54*C        22.23*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.10*C        9.56*C        5        23.85*C        25.89*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.99*C        9.56*C        6        26.96*C        27.93*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.99*C        9.45*C        7        22.77*C        25.67*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        10.10*C        9.56*C        8        22.56*C        25.13*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.99*C        9.56*C        9        77.87*C        58.86*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.99*C        9.56*C        10        1.93*C        12.24*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.99*C        9.56*C        11        16.65*C        22.13*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.88*C        9.56*C        12        4.40*C        14.93*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.88*C        9.56*C        13        11.49*C        19.01*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.88*C        9.67*C        14        12.67*C        19.87*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.99*C        9.67*C        15        13.96*C        20.52*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.88*C        9.56*C        16        1.72*C        13.10*C

        25.00*A        0.05*mV        1.25*Watt        30.00*C        15.00%        54612.00*LX        431.43*W/m2        9.88*C        9.67*C        17        11.39*C        19.23*C

